System,Version,SLOC,Files,Exprs,Stmts,Variable Variables,Variable Function Calls,Variable Method Calls,Variable News,Variable Properties,Variable Class Constants,Variable Static Calls,Variable Static Targets,Variable Static Properties,Variable Static Property Targets,All Variable Features,Magic Sets,Magic Gets,Magic isSets,Magic Unsets,Magic Calls,Magic Static Calls,All Magic Methods,Total Includes,Dynamic Includes,Eval,Create Function Uses,All Eval Features,CallUserFunc,CallUserFuncArray,CallUserMethod,CallUserMethodArray,All Dynamic Invocations
phpMyAdmin,2.11.7,165274,348,525288,144381,42,32,3,1,3,0,0,0,0,0,81,0,0,0,0,0,0,0,631,33,5,1,6,0,0,0,0,0
phpMyAdmin,2.11.8.1,165370,348,525564,144429,42,32,3,1,3,0,0,0,0,0,81,0,0,0,0,0,0,0,631,33,5,1,6,0,0,0,0,0
phpMyAdmin,2.11.8,165370,348,525564,144429,42,32,3,1,3,0,0,0,0,0,81,0,0,0,0,0,0,0,631,33,5,1,6,0,0,0,0,0
phpMyAdmin,2.11.9.3,165377,348,525587,144431,42,33,3,1,3,0,0,0,0,0,82,0,0,0,0,0,0,0,631,33,5,0,5,0,0,0,0,0
phpMyAdmin,2.11.9.1,165375,348,525586,144435,42,33,3,1,3,0,0,0,0,0,82,0,0,0,0,0,0,0,631,33,5,0,5,0,0,0,0,0
phpMyAdmin,2.11.9.4,165377,348,525586,144431,42,33,3,1,3,0,0,0,0,0,82,0,0,0,0,0,0,0,631,33,5,0,5,0,0,0,0,0
phpMyAdmin,2.11.9,165371,348,525575,144431,42,32,3,1,3,0,0,0,0,0,81,0,0,0,0,0,0,0,631,33,5,1,6,0,0,0,0,0
phpMyAdmin,2.11.9.5,165379,348,525601,144433,42,33,3,1,3,0,0,0,0,0,82,0,0,0,0,0,0,0,631,33,5,0,5,0,0,0,0,0
phpMyAdmin,2.11.9.6,165382,348,525621,144435,42,33,3,1,3,0,0,0,0,0,82,0,0,0,0,0,0,0,631,33,5,0,5,0,0,0,0,0
phpMyAdmin,2.11.9.2,165376,348,525588,144435,42,33,3,1,3,0,0,0,0,0,82,0,0,0,0,0,0,0,631,33,5,0,5,0,0,0,0,0
phpMyAdmin,2.11.10,165362,348,525812,144415,42,33,3,1,3,0,0,0,0,0,82,0,0,0,0,0,0,0,631,33,5,0,5,0,0,0,0,0
phpMyAdmin,2.11.10.1,165376,348,525886,144425,42,33,3,1,3,0,0,0,0,0,82,0,0,0,0,0,0,0,632,33,5,0,5,0,0,0,0,0
phpMyAdmin,2.11.11.2,165400,348,525927,144440,42,33,3,1,3,0,0,0,0,0,82,0,0,0,0,0,0,0,632,33,5,0,5,0,0,0,0,0
phpMyAdmin,2.11.11,165384,348,525898,144430,42,33,3,1,3,0,0,0,0,0,82,0,0,0,0,0,0,0,632,33,5,0,5,0,0,0,0,0
phpMyAdmin,2.11.11.1,165384,348,525899,144430,42,33,3,1,3,0,0,0,0,0,82,0,0,0,0,0,0,0,632,33,5,0,5,0,0,0,0,0
phpMyAdmin,2.11.11.3,165406,348,525941,144447,42,33,3,1,3,0,0,0,0,0,82,0,0,0,0,0,0,0,632,33,5,0,5,0,0,0,0,0
phpMyAdmin,3.0.0,123642,294,378673,83676,28,63,3,1,3,0,0,0,0,0,98,1,1,0,0,0,0,2,644,34,5,0,5,0,0,0,0,0
phpMyAdmin,3.0.1,123674,294,378779,83697,28,63,3,1,3,0,0,0,0,0,98,1,1,0,0,0,0,2,644,34,5,0,5,0,0,0,0,0
phpMyAdmin,3.0.1.1,123676,294,378780,83694,28,63,3,1,3,0,0,0,0,0,98,1,1,0,0,0,0,2,645,34,5,0,5,0,0,0,0,0
phpMyAdmin,3.1.0,146338,319,446124,105498,28,63,3,1,3,0,0,0,0,0,98,1,1,0,0,0,0,2,684,36,3,0,3,0,0,0,0,0
phpMyAdmin,3.1.1,146346,319,446166,105504,28,63,3,1,3,0,0,0,0,0,98,1,1,0,0,0,0,2,684,36,3,0,3,0,0,0,0,0
phpMyAdmin,3.1.2,146386,319,446289,105529,28,63,3,1,3,0,0,0,0,0,98,1,1,0,0,0,0,2,684,36,3,0,3,0,0,0,0,0
