System,Version,SLOC,Files,Exprs,Stmts,Variable Variables,Variable Function Calls,Variable Method Calls,Variable News,Variable Properties,Variable Class Constants,Variable Static Calls,Variable Static Targets,Variable Static Properties,Variable Static Property Targets,All Variable Features,Magic Sets,Magic Gets,Magic isSets,Magic Unsets,Magic Calls,Magic Static Calls,All Magic Methods,Total Includes,Dynamic Includes,Eval,Create Function Uses,All Eval Features,CallUserFunc,CallUserFuncArray,CallUserMethod,CallUserMethodArray,All Dynamic Invocations
MediaWiki,1.4.3,96919,297,208853,27155,6,8,4,9,10,0,0,0,0,0,37,0,0,0,0,0,0,0,377,23,3,2,5,0,0,0,0,0
MediaWiki,1.4.4,97008,298,209350,27159,6,8,4,9,10,0,0,0,0,0,37,0,0,0,0,0,0,0,378,23,3,2,5,0,0,0,0,0
MediaWiki,1.4.5,97339,300,209945,27198,6,8,4,10,10,0,0,0,0,0,38,0,0,0,0,0,0,0,382,24,3,2,5,0,0,0,0,0
MediaWiki,1.4.6,99214,302,213275,27382,7,8,4,10,10,0,0,0,0,0,39,0,0,0,0,0,0,0,383,24,3,2,5,0,0,0,0,0
MediaWiki,1.4.7,99204,302,213274,27387,7,8,4,10,10,0,0,0,0,0,39,0,0,0,0,0,0,0,383,24,3,2,5,1,5,0,0,6
MediaWiki,1.4.8,99210,302,213299,27391,7,8,4,10,10,0,0,0,0,0,39,0,0,0,0,0,0,0,383,24,3,2,5,1,5,0,0,6
MediaWiki,1.4.9,99220,302,213319,27397,7,8,4,10,10,0,0,0,0,0,39,0,0,0,0,0,0,0,383,24,3,2,5,1,5,0,0,6
MediaWiki,1.4.10,99219,302,213320,27396,7,8,4,10,10,0,0,0,0,0,39,0,0,0,0,0,0,0,383,24,3,2,5,1,5,0,0,6
MediaWiki,1.4.11,99224,302,213344,27401,7,8,4,10,10,0,0,0,0,0,39,0,0,0,0,0,0,0,383,24,3,2,5,0,0,0,0,0
MediaWiki,1.4.12,99225,302,213338,27402,7,8,4,10,10,0,0,0,0,0,39,0,0,0,0,0,0,0,383,24,3,2,5,0,0,0,0,0
MediaWiki,1.4.13,99227,302,213349,27404,7,8,4,10,10,0,0,0,0,0,39,0,0,0,0,0,0,0,383,24,3,2,5,0,0,0,0,0
MediaWiki,1.4.14,99228,302,213358,27405,7,8,4,10,10,0,0,0,0,0,39,0,0,0,0,0,0,0,383,24,3,2,5,0,0,0,0,0
MediaWiki,1.4.15,99230,302,213372,27405,7,8,4,10,10,0,0,0,0,0,39,0,0,0,0,0,0,0,383,24,3,2,5,0,0,0,0,0
MediaWiki,1.5.0,111637,347,240796,31734,11,8,5,10,15,0,0,0,0,0,49,0,0,0,0,0,0,0,479,25,3,2,5,0,0,0,0,0
