System,Version,Variable Variables,Variable Function Calls,Variable Method Calls,Variable News,Variable Properties,Variable Class Constants,Variable Static Calls,Variable Static Targets,Variable Static Properties,Variable Static Property Targets,Magic Sets,Magic Gets,Magic isSets,Magic Unsets,Magic Calls,Magic Static Calls,Total Includes,Dynamic Includes,Eval,Create Function Uses,CallUserFunc,CallUserFuncArray,CallUserMethod,CallUserMethodArray
MediaWiki,1.18.4,7,3,11,77,87,0,1,0,0,0,2,3,0,0,13,0,629,486,4,1,66,75,0,0
MediaWiki,1.18.5,7,3,11,77,87,0,1,0,0,0,2,3,0,0,13,0,629,486,4,1,66,75,0,0
MediaWiki,1.18.6,7,3,11,77,87,0,1,0,0,0,2,3,0,0,13,0,629,486,4,1,66,75,0,0
MediaWiki,1.19.0,7,3,12,88,91,0,2,0,0,0,2,3,0,0,14,0,537,480,4,1,69,79,0,0
MediaWiki,1.19.1,7,3,12,88,91,0,2,0,0,0,2,3,0,0,14,0,537,480,4,1,69,79,0,0
MediaWiki,1.19.2,7,3,12,88,91,0,2,0,0,0,2,3,0,0,14,0,537,480,4,1,69,79,0,0
MediaWiki,1.19.3,7,3,12,88,91,0,2,0,0,0,2,3,0,0,14,0,537,480,4,1,69,79,0,0
MediaWiki,1.19.4,7,3,12,88,91,0,2,0,0,0,2,3,0,0,14,0,537,480,4,1,69,79,0,0
MediaWiki,1.19.5,7,3,12,88,91,0,2,0,0,0,2,3,0,0,14,0,537,480,4,1,69,79,0,0
MediaWiki,1.19.6,7,3,12,88,91,0,2,0,0,0,2,3,0,0,14,0,537,480,4,1,69,79,0,0
MediaWiki,1.19.7,7,3,12,88,91,0,2,0,0,0,2,3,0,0,14,0,537,480,4,1,69,79,0,0
MediaWiki,1.19.8,7,3,12,88,91,0,2,0,0,0,2,3,0,0,14,0,537,480,4,1,69,79,0,0
MediaWiki,1.19.9,7,3,12,88,91,0,2,0,0,0,2,3,0,0,14,0,537,480,4,1,69,79,0,0
MediaWiki,1.19.10,7,3,12,88,91,0,2,0,0,0,2,3,0,0,14,0,537,480,4,1,70,79,0,0
MediaWiki,1.19.11,7,3,12,88,91,0,2,0,0,0,2,3,0,0,14,0,537,480,4,1,70,80,0,0
MediaWiki,1.19.12,7,3,12,88,91,0,2,0,0,0,2,3,0,0,14,0,537,480,4,1,70,80,0,0
MediaWiki,1.19.13,7,3,12,88,91,0,2,0,0,0,2,3,0,0,14,0,537,480,4,1,70,80,0,0
MediaWiki,1.19.14,7,3,12,88,91,0,2,0,0,0,2,3,0,0,14,0,537,480,4,1,70,80,0,0
MediaWiki,1.19.15,7,3,12,88,91,0,2,0,0,0,2,3,0,0,14,0,537,480,4,1,70,80,0,0
MediaWiki,1.19.16,7,3,12,88,91,0,2,0,0,0,2,3,0,0,14,0,537,480,4,1,70,80,0,0
MediaWiki,1.19.17,7,3,12,88,91,0,2,0,0,0,2,3,0,0,14,0,537,480,4,1,70,80,0,0
MediaWiki,1.19.18,7,3,12,88,91,0,2,0,0,0,2,3,0,0,14,0,537,480,4,1,70,80,0,0
MediaWiki,1.19.19,7,3,12,88,91,0,2,0,0,0,2,3,0,0,14,0,537,480,4,1,70,80,0,0
MediaWiki,1.19.20,7,3,12,88,91,0,2,0,0,0,2,3,0,0,14,0,537,480,4,1,70,80,0,0
MediaWiki,1.20.0,7,4,21,95,94,0,2,0,0,0,2,3,0,0,14,0,527,472,4,1,0,0,0,0
MediaWiki,1.20.1,7,4,21,95,94,0,2,0,0,0,2,3,0,0,14,0,527,472,4,1,0,0,0,0
MediaWiki,1.20.2,7,4,21,95,94,0,2,0,0,0,2,3,0,0,14,0,527,472,4,1,0,0,0,0
MediaWiki,1.20.3,7,4,21,95,94,0,2,0,0,0,2,3,0,0,14,0,527,472,4,1,72,89,0,0
MediaWiki,1.20.4,7,4,21,95,94,0,2,0,0,0,2,3,0,0,14,0,527,472,4,1,72,89,0,0
MediaWiki,1.20.5,7,4,21,95,94,0,2,0,0,0,2,3,0,0,14,0,527,472,4,1,72,89,0,0
MediaWiki,1.20.6,7,4,21,95,94,0,2,0,0,0,2,3,0,0,14,0,527,472,4,1,72,89,0,0
MediaWiki,1.20.7,7,4,21,95,94,0,2,0,0,0,2,3,0,0,14,0,527,472,4,1,72,89,0,0
MediaWiki,1.20.8,7,4,21,95,94,0,2,0,0,0,2,3,0,0,14,0,527,472,4,1,72,89,0,0
MediaWiki,1.21.0,7,103,21,88,106,0,2,4,0,0,2,3,0,0,15,0,541,483,4,1,0,0,0,0
MediaWiki,1.21.1,7,103,21,88,106,0,2,4,0,0,2,3,0,0,15,0,541,483,4,1,0,0,0,0
MediaWiki,1.21.2,7,103,21,88,106,0,2,4,0,0,2,3,0,0,15,0,541,483,4,1,77,92,0,0
MediaWiki,1.21.3,7,103,21,88,106,0,2,4,0,0,2,3,0,0,15,0,541,483,4,1,77,92,0,0
MediaWiki,1.21.4,7,103,21,88,106,0,2,4,0,0,2,3,0,0,15,0,541,483,4,1,78,92,0,0
MediaWiki,1.21.5,7,103,21,88,106,0,2,4,0,0,2,3,0,0,15,0,541,483,4,1,78,93,0,0
MediaWiki,1.21.6,7,103,21,88,106,0,2,4,0,0,2,3,0,0,15,0,541,483,4,1,78,93,0,0
MediaWiki,1.21.7,7,103,21,88,106,0,2,4,0,0,2,3,0,0,15,0,541,483,4,1,78,93,0,0
MediaWiki,1.21.8,7,103,21,88,106,0,2,4,0,0,2,3,0,0,15,0,541,483,4,1,78,93,0,0
